R4;piO;cV;cS;cT
001.000000000;000.483890556;005.161094443;007.839027002;013.000121445;
000.990000000;000.481986998;005.180130023;007.764810534;012.944940556;
000.980000000;000.480099628;005.199003720;007.691196040;012.890199760;
000.970000000;000.478154045;005.218459549;007.616993938;012.835453487;
000.960000000;000.476232621;005.237673795;007.543524709;012.781198504;
000.950000000;000.474219430;005.257805704;007.468956016;012.726761720;
000.940000000;000.472213015;005.277869849;007.394855817;012.672725666;
000.930000000;000.470177068;005.298229322;007.320656946;012.618886268;
000.920000000;000.468118934;005.318810660;007.246481099;012.565291758;
000.910000000;000.466055998;005.339440016;007.172601816;012.512041831;
000.900000000;000.463943244;005.360567556;007.098331639;012.458899195;
000.890000000;000.461806634;005.381933656;007.024078910;012.406012565;
000.880000000;000.459615947;005.403840526;006.949393125;012.353233651;
000.870000000;000.457419841;005.425801594;006.875020205;012.300821798;
000.860000000;000.455193234;005.448067658;006.800586919;012.248654577;
000.850000000;000.452943526;005.470564740;006.726211361;012.196776101;
000.840000000;000.450655931;005.493440689;006.651681542;012.145122232;
000.830000000;000.448339539;005.516604613;006.577141032;012.093745646;
000.820000000;000.445976783;005.540232171;006.502341494;012.042573666;
000.810000000;000.443594679;005.564053214;006.427686893;011.991740107;
000.800000000;000.441178286;005.588217140;006.352967318;011.941184458;
000.790000000;000.438774122;005.612258778;006.278857689;011.891116467;
000.780000000;000.436284499;005.637155015;006.203965569;011.841120584;
000.770000000;000.433779689;005.662203107;006.129307010;011.791510117;
000.760000000;000.431215544;005.687844556;006.054266243;011.742110799;
000.750000000;000.428571461;005.714285385;005.978571888;011.692857273;
000.740000000;000.426010042;005.739899578;005.904499184;011.644398763;
000.730000000;000.423270564;005.767294364;005.828435661;011.595730025;
000.720000000;000.420570837;005.794291632;005.753409048;011.547700680;
000.710000000;000.417829819;005.821701811;005.678307239;011.500009050;
000.700000000;000.415037785;005.849622150;005.603010097;011.452632247;
000.690000000;000.412206117;005.877938835;005.527684022;011.405622857;
000.680000000;000.409314045;005.906859550;005.452063079;011.358922629;
000.670000000;000.406392947;005.936070532;005.376578686;011.312649218;
000.660000000;000.403441891;005.965581092;005.301226445;011.266807537;
000.650000000;000.400415281;005.995847193;005.225419413;011.221266606;
000.640000000;000.397353034;006.026469664;005.149695316;011.176164979;
000.630000000;000.394256381;006.057436192;005.074079621;011.131515813;
000.620000000;000.391097623;006.089023766;004.998227627;011.087251393;
000.610000000;000.387878315;006.121216851;004.922175816;011.043392667;
000.600000000;000.384617987;006.153820129;004.846186638;011.000006766;
000.590000000;000.381303528;006.186964717;004.770107140;010.957071856;
000.580000000;000.377935093;006.220649071;004.693953853;010.914602925;
000.570000000;000.374509783;006.254902169;004.617705625;010.872607795;
000.560000000;000.371030115;006.289698850;004.541408608;010.831107458;
000.550000000;000.367488425;006.325115752;004.464984361;010.790100113;
000.540000000;000.363887225;006.361127752;004.388479931;010.749607683;
000.530000000;000.360243669;006.397563314;004.312116713;010.709680027;
000.520000000;000.356514520;006.434854797;004.235392501;010.670247298;
000.510000000;000.352726476;006.472735240;004.158645152;010.631380392;
000.500000000;000.348863214;006.511367862;004.081699601;010.593067463;
000.490000000;000.344914307;006.550856930;004.004455104;010.555312034;
000.480000000;000.340914793;006.590852071;003.927338414;010.518190485;
000.470000000;000.336840294;006.631597058;003.850084563;010.481681621;
000.460000000;000.332704521;006.672954790;003.772869268;010.445824058;
000.450000000;000.328470642;006.715293581;003.695294721;010.410588302;
000.440000000;000.324168399;006.758316012;003.617719331;010.376035343;
000.430000000;000.319785588;006.802144122;003.540026456;010.342170579;
000.420000000;000.315318922;006.846810780;003.462201764;010.309012544;
000.410000000;000.310769756;006.892302439;003.384282644;010.276585083;
000.400000000;000.306128988;006.938710118;003.306193072;010.244903191;
000.390000000;000.301391630;006.986083701;003.227904356;010.213988057;
000.380000000;000.296566940;007.034330605;003.149540898;010.183871503;
000.370000000;000.291645500;007.083545005;003.071027110;010.154572115;
000.360000000;000.286625184;007.133748157;002.992366925;010.126115081;
000.350000000;000.281507393;007.184926074;002.913601514;010.098527587;
000.340000000;000.276279505;007.237204954;002.834627717;010.071832671;
000.330000000;000.270941998;007.290580021;002.755480119;010.046060140;
000.320000000;000.265490478;007.345095216;002.676144022;010.021239238;
000.310000000;000.259925243;007.400747572;002.596653176;009.997400748;
000.300000000;000.253350320;007.466496802;002.516732346;009.983229148;
000.290000000;000.248432829;007.515671713;002.437126049;009.952797763;
000.280000000;000.242497656;007.575023435;002.357077221;009.932100656;
000.270000000;000.236431014;007.635689861;002.276830664;009.912520525;
000.260000000;000.230224615;007.697753853;002.196342824;009.894096677;
000.250000000;000.223880814;007.761191859;002.115673694;009.876865552;
000.240000000;000.217392546;007.826074535;002.034794235;009.860868770;
000.230000000;000.210752484;007.892475156;001.953675530;009.846150686;
000.220000000;000.203956709;007.960432910;001.872322588;009.832755499;
000.210000000;000.196999174;008.030008259;001.790722492;009.820730752;
000.200000000;000.189874551;008.101254492;001.708870957;009.810125449;
000.190000000;000.182576304;008.174236956;001.626754873;009.800991828;
000.180000000;000.175098334;008.249016659;001.544367307;009.793383966;
000.170000000;000.167433637;008.325663626;001.461695655;009.787359280;
000.160000000;000.159574895;008.404251052;001.378727091;009.782978143;
000.150000000;000.151517158;008.484828424;001.295471697;009.780300121;
000.140000000;000.143248896;008.567511037;001.211885663;009.779396700;
000.130000000;000.134763282;008.652367179;001.127968671;009.780335850;
000.120000000;000.126050707;008.739492926;001.043699857;009.783192783;
000.110000000;000.117105706;008.828942937;000.959095734;009.788038672;
000.100000000;000.107913903;008.920860967;000.874102617;009.794963584;
000.090000000;000.098468505;009.015314953;000.788732722;009.804047676;
000.080000000;000.088757569;009.112424312;000.702959945;009.815384257;
000.070000000;000.078770004;009.212299958;000.616769133;009.829069091;
000.060000000;000.068493385;009.315066154;000.530138797;009.845204951;
000.050000000;000.057915240;009.420847601;000.443051585;009.863899186;
000.040000000;000.047022063;009.529779369;000.355486797;009.885266166;
000.030000000;000.035799523;009.642004769;000.267422437;009.909427207;
000.020000000;000.024232635;009.757673648;000.178836848;009.936510496;
000.010000000;000.012305169;009.876948315;000.089704678;009.966652993;
