r4;piO;ic;pi;ic;piR;ic;piF;ic;cV;ic;cS;ic;cT;ic
001.000000000;000.240737428;000.000735661;000.559142277;000.000872591;000.200120294;000.000598213;000.000000000;000.000000000;007.592625716;000.007356611;007.198917351;000.005383916;014.791543067;000.008409433;
000.950000000;000.233283631;000.000818611;000.577338899;000.000974870;000.189377470;000.000645712;000.000000000;000.000000000;007.667163689;000.008186108;006.930822635;000.005520838;014.597986324;000.009263074;
000.900000000;000.237076025;000.000906769;000.571881117;000.001078081;000.191042858;000.000721207;000.000000000;000.000000000;007.629239750;000.009067690;006.552552846;000.005841776;014.181792596;000.010087637;
000.850000000;000.222169257;000.001002083;000.605020825;000.001202649;000.172809918;000.000755097;000.000000000;000.000000000;007.778307432;000.010020828;006.328004128;000.005776495;014.106311559;000.011135285;
000.800000000;000.212963932;000.001063371;000.620394836;000.001280037;000.166641232;000.000790995;000.000000000;000.000000000;007.870360678;000.010633710;006.000183132;000.005695162;013.870543809;000.011705520;
000.750000000;000.228754795;000.001233179;000.602485219;000.001477539;000.168759987;000.000914159;000.000000000;000.000000000;007.712452055;000.012331790;005.610870089;000.006170573;013.323322144;000.013358575;
000.700000000;000.225758774;000.001331171;000.613564588;000.001551491;000.160676638;000.000950681;000.000000000;000.000000000;007.742412259;000.013311706;005.287737183;000.005989293;013.030149442;000.014005210;
000.650000000;000.210803315;000.001401898;000.641996167;000.001634948;000.147200519;000.000937451;000.000000000;000.000000000;007.891966852;000.014018982;004.988876967;000.005484086;012.880843819;000.014717303;
000.600000000;000.215191116;000.001688293;000.653731394;000.002027184;000.131077490;000.001069487;000.000000000;000.000000000;007.848088839;000.016882933;004.692181552;000.005775231;012.540270391;000.018017075;
000.550000000;000.219911950;000.001709587;000.645989107;000.001905748;000.134098943;000.001028895;000.000000000;000.000000000;007.800880496;000.017095873;004.286210233;000.005093030;012.087090730;000.017346775;
000.500000000;000.205093304;000.001971283;000.687474288;000.002313285;000.107432407;000.001079754;000.000000000;000.000000000;007.949066958;000.019712825;004.016554167;000.004858893;011.965621125;000.020632019;
000.450000000;000.236507891;000.002025332;000.645063302;000.002192979;000.118428807;000.001100537;000.000000000;000.000000000;007.634921085;000.020253319;003.570363333;000.004457176;011.205284418;000.020239849;
000.400000000;000.217118817;000.002243053;000.689146587;000.002559303;000.093734596;000.001099145;000.000000000;000.000000000;007.828811833;000.022430525;003.262555455;000.003956921;011.091367288;000.023021042;
000.350000000;000.225705399;000.002164353;000.683396928;000.002357791;000.090897672;000.001026120;000.000000000;000.000000000;007.742946006;000.021643535;002.863672332;000.003232278;010.606618338;000.021754950;
000.300000000;000.216256834;000.002118849;000.710423504;000.002342770;000.073319661;000.000900191;000.000000000;000.000000000;007.837431656;000.021188485;002.502036914;000.002430514;010.339468570;000.021446550;
000.250000000;000.207744128;000.001802606;000.730274355;000.001993542;000.061981517;000.000626390;000.000000000;000.000000000;007.922558716;000.018026057;002.110541587;000.001409378;010.033100303;000.018286754;
000.200000000;000.189091413;000.001210443;000.759804874;000.001280539;000.051103712;000.000332433;000.000000000;000.000000000;008.109085865;000.012104429;001.708013318;000.000598379;009.817099183;000.012166716;
000.150000000;000.156920269;000.000544611;000.802962298;000.000584271;000.040117433;000.000141841;000.000000000;000.000000000;008.430797312;000.005446106;001.295841466;000.000191485;009.726638778;000.005479923;
000.100000000;000.114224398;000.000242839;000.857158302;000.000269815;000.028617301;000.000060001;000.000000000;000.000000014;008.857756022;000.002428391;000.874244430;000.000054001;009.732000451;000.002447868;
000.050000000;000.062776855;000.000147939;000.921842811;000.000166227;000.015380334;000.000035931;000.000000000;000.000000000;009.372231446;000.001479389;000.443078850;000.000016169;009.815310296;000.001486236;
