r4;piO;ic;pi;ic;piR;ic;piF;ic;cV;ic;cS;ic;cT;ic
001.000000000;000.154431366;000.021012032;000.845568634;000.021012032;000.000000000;000.000000000;000.000000000;000.000000000;008.455686338;000.210120319;009.000000000;000.000000000;017.455686338;000.210120319;
000.990000000;000.061170141;000.015700072;000.438829859;000.015700072;000.000000000;000.000000000;000.000000000;000.000000000;004.388298589;000.157000722;004.455000000;000.000000000;008.843298589;000.157000722;
000.980000000;000.044732036;000.012862390;000.288601297;000.012862390;000.000000000;000.000000000;000.000000000;000.000000000;002.886012970;000.128623901;002.940000000;000.000000000;005.826012970;000.128623901;
000.970000000;000.020150118;000.010484838;000.229849882;000.010484838;000.000000000;000.000000000;000.000000000;000.000000000;002.298498822;000.104848379;002.182500000;000.000000000;004.480998822;000.104848379;
000.960000000;000.014823772;000.011351904;000.185176228;000.011351904;000.000000000;000.000000000;000.000000000;000.000000000;001.851762278;000.113519041;001.728000000;000.000000000;003.579762278;000.113519041;
000.950000000;000.012853847;000.010635662;000.153812819;000.010635662;000.000000000;000.000000000;000.000000000;000.000000000;001.538128192;000.106356621;001.425000000;000.000000000;002.963128192;000.106356621;
000.940000000;000.015923017;000.015885645;000.126934126;000.015885645;000.000000000;000.000000000;000.000000000;000.000000000;001.269341260;000.158856451;001.208571429;000.000000000;002.477912689;000.158856451;
000.930000000;000.008585619;000.010717947;000.116414381;000.010717947;000.000000000;000.000000000;000.000000000;000.000000000;001.164143815;000.107179470;001.046250000;000.000000000;002.210393815;000.107179470;
000.920000000;000.009037034;000.011671293;000.102074077;000.011671293;000.000000000;000.000000000;000.000000000;000.000000000;001.020740771;000.116712932;000.920000000;000.000000000;001.940740771;000.116712932;
000.910000000;000.012988276;000.012653063;000.087011724;000.012653063;000.000000000;000.000000000;000.000000000;000.000000000;000.870117238;000.126530629;000.819000000;000.000000000;001.689117238;000.126530629;
000.900000000;000.006019157;000.013102105;000.084889934;000.013102105;000.000000000;000.000000000;000.000000000;000.000000000;000.848899339;000.131021054;000.736363636;000.000000000;001.585262975;000.131021054;
000.890000000;000.005785286;000.009001169;000.077548047;000.009001169;000.000000000;000.000000000;000.000000000;000.000000000;000.775480474;000.090011689;000.667500000;000.000000000;001.442980474;000.090011689;
000.880000000;000.007034702;000.012289891;000.069888375;000.012289891;000.000000000;000.000000000;000.000000000;000.000000000;000.698883748;000.122898915;000.609230769;000.000000000;001.308114517;000.122898915;
000.870000000;000.004518421;000.013259792;000.066910150;000.013259792;000.000000000;000.000000000;000.000000000;000.000000000;000.669101502;000.132597921;000.559285714;000.000000000;001.228387216;000.132597921;
000.860000000;000.004908188;000.012151342;000.061758479;000.012151342;000.000000000;000.000000000;000.000000000;000.000000000;000.617584791;000.121513420;000.516000000;000.000000000;001.133584791;000.121513420;
000.850000000;000.001904250;000.007801851;000.060595750;000.007801851;000.000000000;000.000000000;000.000000000;000.000000000;000.605957496;000.078018510;000.478125000;000.000000000;001.084082496;000.078018510;
000.840000000;000.005661049;000.011199481;000.053162481;000.011199481;000.000000000;000.000000000;000.000000000;000.000000000;000.531624808;000.111994812;000.444705882;000.000000000;000.976330690;000.111994812;
000.830000000;000.007238270;000.012049398;000.048317286;000.012049398;000.000000000;000.000000000;000.000000000;000.000000000;000.483172858;000.120493981;000.415000000;000.000000000;000.898172858;000.120493981;
000.820000000;000.004389513;000.010031073;000.048242066;000.010031073;000.000000000;000.000000000;000.000000000;000.000000000;000.482420661;000.100310735;000.388421053;000.000000000;000.870841714;000.100310735;
000.810000000;000.001375926;000.007723981;000.048624074;000.007723981;000.000000000;000.000000000;000.000000000;000.000000000;000.486240736;000.077239811;000.364500000;000.000000000;000.850740736;000.077239811;
000.800000000;000.016223086;000.055806886;000.031395962;000.055806886;000.000000000;000.000000000;000.000000000;000.000000000;000.313959615;000.558068858;000.342857143;000.000000000;000.656816758;000.558068858;
000.790000000;000.037842400;000.036289774;000.007612145;000.036289774;000.000000000;000.000000000;000.000000000;000.000000000;000.076121450;000.362897741;000.323181818;000.000000000;000.399303268;000.362897741;
000.780000000;000.002012862;000.009402354;000.041465399;000.009402354;000.000000000;000.000000000;000.000000000;000.000000000;000.414653993;000.094023541;000.305217391;000.000000000;000.719871384;000.094023541;
000.770000000;000.000971327;000.006129978;000.040695340;000.006129978;000.000000000;000.000000000;000.000000000;000.000000000;000.406953400;000.061299782;000.288750000;000.000000000;000.695703400;000.061299782;
000.760000000;000.000720517;000.005260598;000.039279483;000.005260598;000.000000000;000.000000000;000.000000000;000.000000000;000.392794834;000.052605978;000.273600000;000.000000000;000.666394834;000.052605978;
000.750000000;000.001406948;000.005619596;000.037054590;000.005619596;000.000000000;000.000000000;000.000000000;000.000000000;000.370545901;000.056195962;000.259615385;000.000000000;000.630161285;000.056195962;
