r4;piO;piP;piR;piF;cV;cS;cT
001,000000000;000,300580117;000,699419883;000,000000000;000,000000000;006,994198826;009,000000000;015,994198826;
000,990000000;000,329910242;000,670089758;000,000000000;000,000000000;006,700897576;008,955000000;015,655897576;
000,980000000;000,316498379;000,683501621;000,000000000;000,000000000;006,835016207;008,910000000;015,745016207;
000,970000000;000,324420405;000,675579595;000,000000000;000,000000000;006,755795946;008,865000000;015,620795946;
000,960000000;000,327497758;000,672502242;000,000000000;000,000000000;006,725022417;008,820000000;015,545022417;
000,950000000;000,320757458;000,679242542;000,000000000;000,000000000;006,792425421;008,775000000;015,567425421;
000,940000000;000,318039711;000,681960289;000,000000000;000,000000000;006,819602894;008,730000000;015,549602894;
000,930000000;000,315531609;000,684468391;000,000000000;000,000000000;006,844683914;008,685000000;015,529683914;
000,920000000;000,312185769;000,687814231;000,000000000;000,000000000;006,878142312;008,640000000;015,518142312;
000,910000000;000,308397578;000,691602422;000,000000000;000,000000000;006,916024221;008,595000000;015,511024221;
000,900000000;000,302570683;000,697429317;000,000000000;000,000000000;006,974293175;008,550000000;015,524293175;
000,890000000;000,307636861;000,692363139;000,000000000;000,000000000;006,923631386;008,505000000;015,428631386;
000,880000000;000,303608446;000,696391554;000,000000000;000,000000000;006,963915544;008,460000000;015,423915544;
000,870000000;000,303287640;000,696712360;000,000000000;000,000000000;006,967123604;008,415000000;015,382123604;
000,860000000;000,311298161;000,688701839;000,000000000;000,000000000;006,887018392;008,370000000;015,257018392;
000,850000000;000,315839773;000,684160227;000,000000000;000,000000000;006,841602275;008,325000000;015,166602275;
000,840000000;000,316785069;000,683214931;000,000000000;000,000000000;006,832149310;008,280000000;015,112149310;
000,830000000;000,314730254;000,685269746;000,000000000;000,000000000;006,852697464;008,235000000;015,087697464;
000,820000000;000,318359015;000,681640985;000,000000000;000,000000000;006,816409848;008,190000000;015,006409848;
000,810000000;000,321383574;000,678616426;000,000000000;000,000000000;006,786164259;008,145000000;014,931164259;
000,800000000;000,321308336;000,678691664;000,000000000;000,000000000;006,786916639;008,100000000;014,886916639;
000,790000000;000,319607143;000,680392857;000,000000000;000,000000000;006,803928575;008,055000000;014,858928575;
000,780000000;000,322157946;000,677842054;000,000000000;000,000000000;006,778420544;008,010000000;014,788420544;
000,770000000;000,321288803;000,678711197;000,000000000;000,000000000;006,787111970;007,965000000;014,752111970;
000,760000000;000,322038433;000,677961567;000,000000000;000,000000000;006,779615673;007,920000000;014,699615673;
000,750000000;000,322821447;000,677178553;000,000000000;000,000000000;006,771785530;007,875000000;014,646785530;
