r4;piO;piP;piR;piF;cV;cS;cT
001,000000000;000,335329621;000,664670379;000,000000000;000,000000000;006,646703792;009,000000000;015,646703792;
000,990000000;000,231234697;000,268765303;000,000000000;000,000000000;002,687653026;004,455000000;007,142653026;
000,980000000;000,211277214;000,122056119;000,000000000;000,000000000;001,220561191;002,940000000;004,160561191;
000,970000000;000,161013890;000,088986110;000,000000000;000,000000000;000,889861101;002,182500000;003,072361101;
000,960000000;000,138936588;000,061063412;000,000000000;000,000000000;000,610634124;001,728000000;002,338634124;
000,950000000;000,121338346;000,045328321;000,000000000;000,000000000;000,453283210;001,425000000;001,878283210;
000,940000000;000,113028015;000,029829128;000,000000000;000,000000000;000,298291280;001,208571429;001,506862708;
000,930000000;000,088402843;000,036597157;000,000000000;000,000000000;000,365971566;001,046250000;001,412221566;
000,920000000;000,068775764;000,042335347;000,000000000;000,000000000;000,423353472;000,920000000;001,343353472;
000,910000000;000,073233609;000,026766391;000,000000000;000,000000000;000,267663906;000,819000000;001,086663906;
000,900000000;000,071598041;000,019311050;000,000000000;000,000000000;000,193110497;000,736363636;000,929474134;
000,890000000;000,061686168;000,021647165;000,000000000;000,000000000;000,216471650;000,667500000;000,883971650;
000,880000000;000,060931321;000,015991756;000,000000000;000,000000000;000,159917559;000,609230769;000,769148328;
000,870000000;000,039832223;000,031596349;000,000000000;000,000000000;000,315963487;000,559285714;000,875249201;
000,860000000;000,030461502;000,036205165;000,000000000;000,000000000;000,362051649;000,516000000;000,878051649;
000,850000000;000,027057065;000,035442935;000,000000000;000,000000000;000,354429351;000,478125000;000,832554351;
000,840000000;000,030695736;000,028127794;000,000000000;000,000000000;000,281277937;000,444705882;000,725983819;
000,830000000;000,030593577;000,024961979;000,000000000;000,000000000;000,249619789;000,415000000;000,664619789;
000,820000000;000,025912510;000,026719069;000,000000000;000,000000000;000,267190691;000,388421053;000,655611744;
000,810000000;000,029199354;000,020800646;000,000000000;000,000000000;000,208006464;000,364500000;000,572506464;
000,800000000;000,027533061;000,020085987;000,000000000;000,000000000;000,200859866;000,342857143;000,543717009;
000,790000000;000,030938959;000,014515587;000,000000000;000,000000000;000,145155868;000,323181818;000,468337686;
000,780000000;000,024742837;000,018735424;000,000000000;000,000000000;000,187354240;000,305217391;000,492571632;
000,770000000;000,023876167;000,017790500;000,000000000;000,000000000;000,177904997;000,288750000;000,466654997;
000,760000000;000,024763761;000,015236239;000,000000000;000,000000000;000,152362390;000,273600000;000,425962390;
000,750000000;000,021722176;000,016739362;000,000000000;000,000000000;000,167393624;000,259615385;000,427009009;
000,740000000;000,015355672;000,021681365;000,000000000;000,000000000;000,216813652;000,246666667;000,463480318;
000,730000000;000,015599595;000,020114691;000,000000000;000,000000000;000,201146909;000,234642857;000,435789766;
000,720000000;000,013858936;000,020623823;000,000000000;000,000000000;000,206238225;000,223448276;000,429686501;
000,710000000;000,018523966;000,014809367;000,000000000;000,000000000;000,148093673;000,213000000;000,361093673;
000,700000000;000,015129791;000,017128274;000,000000000;000,000000000;000,171282740;000,203225806;000,374508546;
000,690000000;000,016457240;000,014792760;000,000000000;000,000000000;000,147927597;000,194062500;000,341990097;
000,680000000;000,016037542;000,014265489;000,000000000;000,000000000;000,142654887;000,185454545;000,328109432;
