R4;piO:Simulado;piO:Modelado;piO:Diferença;piO:Porcentagem;
1;0,48389302;0,483889;0,00000402;0,0008307656; 
0,999;0,483684589;0,483702;0,000017411;0,0035995951;
0,998;0,483512925;0,483514;0,000001075;0,0002223309;
0,997;0,48331018;0,483326;0,00001582;0,0032732067;
0,996;0,483137147;0,483138;0,000000853;0,0001765543;
0,995;0,482950644;0,48295;0,000000644;0,000133347;
0,994;0,482751194;0,482761;0,000009806;0,0020312535;
0,993;0,482589945;0,482572;0,000017945;0,0037185469;
0,992;0,482373721;0,482383;0,000009279;0,0019235938;
0,991;0,482185234;0,482194;0,000008766;0,001817957;
0,99;0,482029411;0,482005;0,000024411;0,005064342;
0,989;0,48184706;0,481815;0,00003206;0,0066537848;
0,988;0,4816527;0,481625;0,0000277;0,0057511972;
0,987;0,481421757;0,481435;0,000013243;0,0027507726;
0,986;0,481253736;0,481244;0,000009736;0,0020230697;
0,985;0,481065058;0,481054;0,000011058;0,002298676;
0,984;0,480851434;0,480863;0,000011566;0,0024052878;
0,983;0,48066794;0,480672;0,00000406;0,0008446544;
0,982;0,480477224;0,48048;0,000002776;0,0005777572;
0,981;0,480285187;0,480289;0,000003813;0,0007939002;
0,98;0,480080352;0,480097;0,000016648;0,0034676927;
0,979;0,479903712;0,479905;0,000001288;0,0002683868;
0,978;0,479711343;0,479713;0,000001657;0,0003454155;
0,977;0,479559271;0,47952;0,000039271;0,0081893126;
0,976;0,479361009;0,479327;0,000034009;0,0070949046;
0,975;0,4791879;0,479134;0,0000539;0,0112488299;
0,974;0,478983778;0,478941;0,000042778;0,0089313902;
0,973;0,478728707;0,478747;0,000018293;0,0038210891;
0,972;0,478546695;0,478554;0,000007305;0,0015264852;
0,971;0,478354436;0,47836;0,000005564;0,0011631475;
0,97;0,478147078;0,478165;0,000017922;0,0037481488;
0,969;0,477952345;0,477971;0,000018655;0,0039030326;
0,968;0,477762352;0,477776;0,000013648;0,0028566096;
0,967;0,477585856;0,477581;0,000004856;0,0010167857;
0,966;0,477392843;0,477386;0,000006843;0,001433421;
0,965;0,477177358;0,477191;0,000013642;0,0028588542;
0,964;0,476981067;0,476995;0,000013933;0,0029210376;
0,963;0,476786192;0,476799;0,000012808;0,0026862833;
0,962;0,476610456;0,476603;0,000007456;0,0015643925;
0,961;0,476417173;0,476406;0,000011173;0,002345241;
0,96;0,476197296;0,47621;0,000012704;0,0026677662;
0,959;0,47600013;0,476013;0,00001287;0,0027037442;
0,958;0,475799291;0,475815;0,000015709;0,0033015477;
0,957;0,475601531;0,475618;0,000016469;0,0034627128;
0,956;0,475421003;0,47542;0,000001003;0,0002109711;
0,955;0,475206576;0,475222;0,000015424;0,0032456937;
0,954;0,475024398;0,475024;0,000000398;8,37852052275246E-005;
0,953;0,47480961;0,474826;0,00001639;0,0034518503;
0,952;0,474628972;0,474627;0,000001972;0,0004154833;
0,951;0,474412747;0,474428;0,000015253;0,0032150811;
0,95;0,474213243;0,474229;0,000015757;0,0033227116;
0,949;0,474032433;0,47403;0,000002433;0,0005132573;
0,948;0,473814827;0,47383;0,000015173;0,0032022546;
0,947;0,473632258;0,47363;0,000002258;0,0004767423;
0,946;0,473414426;0,47343;0,000015574;0,003289664;
0,945;0,473223385;0,473229;0,000005615;0,0011865362;
0,944;0,473009938;0,473029;0,000019062;0,0040298553;
0,943;0,472808708;0,472828;0,000019292;0,0040802139;
0,942;0,472621923;0,472627;0,000005077;0,0010742144;
0,941;0,472406703;0,472425;0,000018297;0,0038730707;
0,94;0,472217758;0,472223;0,000005242;0,0011100749;
0,939;0,472002665;0,472021;0,000018335;0,0038844365;
0,938;0,471815461;0,471819;0,000003539;0,0007500786;
0,937;0,471598602;0,471617;0,000018398;0,0039011229;
0,936;0,471409264;0,471414;0,000004736;0,0010046422;
0,935;0,471192539;0,471211;0,000018461;0,0039178546;
0,934;0,471004679;0,471008;0,000003321;0,0007050861;
0,933;0,470786354;0,470804;0,000017646;0,0037481268;
0,932;0,470582326;0,4706;0,000017674;0,0037557016;
0,931;0,470386467;0,470396;0,000009533;0,0020266109;
0,93;0,470225785;0,470192;0,000033785;0,0071851044;
0,929;0,469977054;0,469987;0,000009946;0,0021162511;
0,928;0,469810572;0,469782;0,000028572;0,006081785;
0,927;0,469568426;0,469577;0,000008574;0,0018259153;
0,926;0,469416533;0,469372;0,000044533;0,0094873336;
0,925;0,469156918;0,469166;0,000009082;0,0019357941;
